Domain,Area,Element,Item,Year,Unit,Value
"Crops and livestock products","Albania","Production","Wine","2016","tonnes","17800"
"Crops and livestock products","Albania","Production","Wine","2017","tonnes","16868"
"Crops and livestock products","Albania","Production","Wine","2018","tonnes","15290"
"Crops and livestock products","Albania","Production","Wine","2019","tonnes","15925"
"Crops and livestock products","Algeria","Production","Wine","2016","tonnes","6594"
"Crops and livestock products","Algeria","Production","Wine","2017","tonnes","22733"
"Crops and livestock products","Algeria","Production","Wine","2018","tonnes","19251"
"Crops and livestock products","Algeria","Production","Wine","2019","tonnes","20830"
"Crops and livestock products","Argentina","Production","Wine","2016","tonnes","944650"
"Crops and livestock products","Argentina","Production","Wine","2017","tonnes","1182111"
"Crops and livestock products","Argentina","Production","Wine","2018","tonnes","1452151"
"Crops and livestock products","Argentina","Production","Wine","2019","tonnes","1301947"
"Crops and livestock products","Armenia","Production","Wine","2016","tonnes","6810"
"Crops and livestock products","Armenia","Production","Wine","2017","tonnes","8853"
"Crops and livestock products","Armenia","Production","Wine","2018","tonnes","9672"
"Crops and livestock products","Armenia","Production","Wine","2019","tonnes","12750"
"Crops and livestock products","Australia","Production","Wine","2016","tonnes","1299000"
"Crops and livestock products","Australia","Production","Wine","2017","tonnes","1369000"
"Crops and livestock products","Australia","Production","Wine","2018","tonnes","1285000"
"Crops and livestock products","Australia","Production","Wine","2019","tonnes","1197000"
"Crops and livestock products","Austria","Production","Wine","2016","tonnes","195253"
"Crops and livestock products","Austria","Production","Wine","2017","tonnes","248571"
"Crops and livestock products","Azerbaijan","Production","Wine","2016","tonnes","10493"
"Crops and livestock products","Azerbaijan","Production","Wine","2017","tonnes","11305"
"Crops and livestock products","Azerbaijan","Production","Wine","2018","tonnes","15743"
"Crops and livestock products","Azerbaijan","Production","Wine","2019","tonnes","8773"
"Crops and livestock products","Belarus","Production","Wine","2016","tonnes","27430"
"Crops and livestock products","Belarus","Production","Wine","2017","tonnes","30990"
"Crops and livestock products","Belarus","Production","Wine","2018","tonnes","31950"
"Crops and livestock products","Belarus","Production","Wine","2019","tonnes","33970"
"Crops and livestock products","Belgium","Production","Wine","2016","tonnes","18492"
"Crops and livestock products","Belgium","Production","Wine","2017","tonnes","18424"
"Crops and livestock products","Bolivia (Plurinational State of)","Production","Wine","2016","tonnes","8335"
"Crops and livestock products","Bolivia (Plurinational State of)","Production","Wine","2017","tonnes","8376"
"Crops and livestock products","Bolivia (Plurinational State of)","Production","Wine","2018","tonnes","6737"
"Crops and livestock products","Bolivia (Plurinational State of)","Production","Wine","2019","tonnes","7054"
"Crops and livestock products","Bosnia and Herzegovina","Production","Wine","2016","tonnes","4579"
"Crops and livestock products","Bosnia and Herzegovina","Production","Wine","2017","tonnes","5546"
"Crops and livestock products","Bosnia and Herzegovina","Production","Wine","2018","tonnes","6046"
"Crops and livestock products","Bosnia and Herzegovina","Production","Wine","2019","tonnes","6042"
"Crops and livestock products","Brazil","Production","Wine","2016","tonnes","130000"
"Crops and livestock products","Brazil","Production","Wine","2017","tonnes","371237"
"Crops and livestock products","Brazil","Production","Wine","2018","tonnes","390806"
"Crops and livestock products","Brazil","Production","Wine","2019","tonnes","378772"
"Crops and livestock products","Bulgaria","Production","Wine","2016","tonnes","133398"
"Crops and livestock products","Bulgaria","Production","Wine","2017","tonnes","119309"
"Crops and livestock products","Bulgaria","Production","Wine","2018","tonnes","117018"
"Crops and livestock products","Canada","Production","Wine","2016","tonnes","63776"
"Crops and livestock products","Canada","Production","Wine","2017","tonnes","70433"
"Crops and livestock products","Canada","Production","Wine","2018","tonnes","70286"
"Crops and livestock products","Canada","Production","Wine","2019","tonnes","69196"
"Crops and livestock products","Chile","Production","Wine","2016","tonnes","1014362"
"Crops and livestock products","Chile","Production","Wine","2017","tonnes","949206"
"Crops and livestock products","Chile","Production","Wine","2018","tonnes","1289897"
"Crops and livestock products","Chile","Production","Wine","2019","tonnes","1193876"
"Crops and livestock products","China","Production","Wine","2016","tonnes","1843696"
"Crops and livestock products","China","Production","Wine","2017","tonnes","1899349"
"Crops and livestock products","China","Production","Wine","2018","tonnes","1985741"
"Crops and livestock products","China","Production","Wine","2019","tonnes","2065561"
"Crops and livestock products","China, mainland","Production","Wine","2016","tonnes","1843696"
"Crops and livestock products","China, mainland","Production","Wine","2017","tonnes","1899349"
"Crops and livestock products","China, mainland","Production","Wine","2018","tonnes","1985741"
"Crops and livestock products","China, mainland","Production","Wine","2019","tonnes","2065561"
"Crops and livestock products","Colombia","Production","Wine","2016","tonnes","2071"
"Crops and livestock products","Colombia","Production","Wine","2017","tonnes","2150"
"Crops and livestock products","Colombia","Production","Wine","2018","tonnes","2367"
"Crops and livestock products","Colombia","Production","Wine","2019","tonnes","2572"
"Crops and livestock products","Croatia","Production","Wine","2016","tonnes","48489"
"Crops and livestock products","Croatia","Production","Wine","2017","tonnes","46089"
"Crops and livestock products","Croatia","Production","Wine","2018","tonnes","53400"
"Crops and livestock products","Cuba","Production","Wine","2016","tonnes","11660"
"Crops and livestock products","Cuba","Production","Wine","2017","tonnes","11980"
"Crops and livestock products","Cuba","Production","Wine","2018","tonnes","11400"
"Crops and livestock products","Cuba","Production","Wine","2019","tonnes","10600"
"Crops and livestock products","Cyprus","Production","Wine","2016","tonnes","6935"
"Crops and livestock products","Cyprus","Production","Wine","2017","tonnes","8251"
"Crops and livestock products","Czechia","Production","Wine","2016","tonnes","81900"
"Crops and livestock products","Czechia","Production","Wine","2017","tonnes","63100"
"Crops and livestock products","Czechia","Production","Wine","2018","tonnes","64500"
"Crops and livestock products","Czechia","Production","Wine","2019","tonnes","68000"
"Crops and livestock products","Egypt","Production","Wine","2016","tonnes","5848"
"Crops and livestock products","Egypt","Production","Wine","2017","tonnes","6006"
"Crops and livestock products","Egypt","Production","Wine","2018","tonnes","5676"
"Crops and livestock products","Egypt","Production","Wine","2019","tonnes","5413"
"Crops and livestock products","Estonia","Production","Wine","2016","tonnes",""
"Crops and livestock products","Estonia","Production","Wine","2017","tonnes",""
"Crops and livestock products","Estonia","Production","Wine","2018","tonnes",""
"Crops and livestock products","Estonia","Production","Wine","2019","tonnes",""
"Crops and livestock products","Ethiopia","Production","Wine","2016","tonnes","812"
"Crops and livestock products","Ethiopia","Production","Wine","2017","tonnes","804"
"Crops and livestock products","Ethiopia","Production","Wine","2018","tonnes","778"
"Crops and livestock products","Ethiopia","Production","Wine","2019","tonnes","743"
"Crops and livestock products","France","Production","Wine","2016","tonnes","4504383"
"Crops and livestock products","France","Production","Wine","2017","tonnes","3637009"
"Crops and livestock products","France","Production","Wine","2018","tonnes","4888791"
"Crops and livestock products","France","Production","Wine","2019","tonnes","4165524"
"Crops and livestock products","Georgia","Production","Wine","2016","tonnes","90005"
"Crops and livestock products","Georgia","Production","Wine","2017","tonnes","87018"
"Crops and livestock products","Georgia","Production","Wine","2018","tonnes","113969"
"Crops and livestock products","Georgia","Production","Wine","2019","tonnes","138060"
"Crops and livestock products","Germany","Production","Wine","2016","tonnes","578692"
"Crops and livestock products","Germany","Production","Wine","2017","tonnes","626532"
"Crops and livestock products","Germany","Production","Wine","2018","tonnes","633424"
"Crops and livestock products","Greece","Production","Wine","2016","tonnes","302493"
"Crops and livestock products","Greece","Production","Wine","2017","tonnes","297556"
"Crops and livestock products","Greece","Production","Wine","2018","tonnes","300031"
"Crops and livestock products","Greece","Production","Wine","2019","tonnes","280336"
"Crops and livestock products","Hungary","Production","Wine","2016","tonnes","302379"
"Crops and livestock products","Hungary","Production","Wine","2017","tonnes","358132"
"Crops and livestock products","Hungary","Production","Wine","2018","tonnes","355184"
"Crops and livestock products","Hungary","Production","Wine","2019","tonnes","306200"
"Crops and livestock products","Iceland","Production","Wine","2016","tonnes",""
"Crops and livestock products","Iceland","Production","Wine","2017","tonnes",""
"Crops and livestock products","Iceland","Production","Wine","2018","tonnes",""
"Crops and livestock products","Iceland","Production","Wine","2019","tonnes","0"
"Crops and livestock products","Israel","Production","Wine","2016","tonnes","2819"
"Crops and livestock products","Israel","Production","Wine","2017","tonnes","3059"
"Crops and livestock products","Israel","Production","Wine","2018","tonnes","2801"
"Crops and livestock products","Israel","Production","Wine","2019","tonnes","2719"
"Crops and livestock products","Italy","Production","Wine","2016","tonnes","5161546"
"Crops and livestock products","Italy","Production","Wine","2017","tonnes","4382936"
"Crops and livestock products","Italy","Production","Wine","2018","tonnes","5415000"
"Crops and livestock products","Italy","Production","Wine","2019","tonnes","4922500"
"Crops and livestock products","Japan","Production","Wine","2016","tonnes","80552"
"Crops and livestock products","Japan","Production","Wine","2017","tonnes","78615"
"Crops and livestock products","Japan","Production","Wine","2018","tonnes","79807"
"Crops and livestock products","Japan","Production","Wine","2019","tonnes","82956"
"Crops and livestock products","Jordan","Production","Wine","2016","tonnes","400"
"Crops and livestock products","Jordan","Production","Wine","2017","tonnes","573"
"Crops and livestock products","Jordan","Production","Wine","2018","tonnes","375"
"Crops and livestock products","Jordan","Production","Wine","2019","tonnes","419"
"Crops and livestock products","Kazakhstan","Production","Wine","2016","tonnes","29853"
"Crops and livestock products","Kazakhstan","Production","Wine","2017","tonnes","32697"
"Crops and livestock products","Kazakhstan","Production","Wine","2018","tonnes","50105"
"Crops and livestock products","Kazakhstan","Production","Wine","2019","tonnes","44479"
"Crops and livestock products","Kyrgyzstan","Production","Wine","2016","tonnes","2408"
"Crops and livestock products","Kyrgyzstan","Production","Wine","2017","tonnes","2834"
"Crops and livestock products","Kyrgyzstan","Production","Wine","2018","tonnes","5640"
"Crops and livestock products","Kyrgyzstan","Production","Wine","2019","tonnes","3797"
"Crops and livestock products","Latvia","Production","Wine","2016","tonnes","2534"
"Crops and livestock products","Latvia","Production","Wine","2017","tonnes","3237"
"Crops and livestock products","Lebanon","Production","Wine","2016","tonnes","10666"
"Crops and livestock products","Lebanon","Production","Wine","2017","tonnes","9504"
"Crops and livestock products","Lebanon","Production","Wine","2018","tonnes","8666"
"Crops and livestock products","Lebanon","Production","Wine","2019","tonnes","8887"
"Crops and livestock products","Libya","Production","Wine","2016","tonnes","0"
"Crops and livestock products","Libya","Production","Wine","2017","tonnes","0"
"Crops and livestock products","Libya","Production","Wine","2018","tonnes","0"
"Crops and livestock products","Lithuania","Production","Wine","2016","tonnes","4812"
"Crops and livestock products","Lithuania","Production","Wine","2017","tonnes","4091"
"Crops and livestock products","Lithuania","Production","Wine","2018","tonnes","4695"
"Crops and livestock products","Luxembourg","Production","Wine","2016","tonnes","8295"
"Crops and livestock products","Luxembourg","Production","Wine","2017","tonnes","8125"
"Crops and livestock products","Luxembourg","Production","Wine","2018","tonnes","13591"
"Crops and livestock products","Madagascar","Production","Wine","2016","tonnes","7782"
"Crops and livestock products","Madagascar","Production","Wine","2017","tonnes","7801"
"Crops and livestock products","Madagascar","Production","Wine","2018","tonnes","7850"
"Crops and livestock products","Madagascar","Production","Wine","2019","tonnes","7917"
"Crops and livestock products","Malta","Production","Wine","2016","tonnes","2028"
"Crops and livestock products","Malta","Production","Wine","2017","tonnes","2013"
"Crops and livestock products","Mauritius","Production","Wine","2017","tonnes","3881"
"Crops and livestock products","Mauritius","Production","Wine","2018","tonnes","3548"
"Crops and livestock products","Mauritius","Production","Wine","2019","tonnes","4114"
"Crops and livestock products","Mexico","Production","Wine","2016","tonnes","44140"
"Crops and livestock products","Mexico","Production","Wine","2017","tonnes","35516"
"Crops and livestock products","Mexico","Production","Wine","2018","tonnes","38490"
"Crops and livestock products","Mexico","Production","Wine","2019","tonnes","36640"
"Crops and livestock products","Mongolia","Production","Wine","2016","tonnes","80"
"Crops and livestock products","Mongolia","Production","Wine","2017","tonnes","103"
"Crops and livestock products","Mongolia","Production","Wine","2018","tonnes","110"
"Crops and livestock products","Mongolia","Production","Wine","2019","tonnes","282"
"Crops and livestock products","Montenegro","Production","Wine","2016","tonnes","17244"
"Crops and livestock products","Montenegro","Production","Wine","2017","tonnes","13289"
"Crops and livestock products","Montenegro","Production","Wine","2018","tonnes","14421"
"Crops and livestock products","Montenegro","Production","Wine","2019","tonnes","13045"
"Crops and livestock products","Morocco","Production","Wine","2016","tonnes","32530"
"Crops and livestock products","Morocco","Production","Wine","2017","tonnes","34411"
"Crops and livestock products","Morocco","Production","Wine","2018","tonnes","40808"
"Crops and livestock products","Morocco","Production","Wine","2019","tonnes","41773"
"Crops and livestock products","New Zealand","Production","Wine","2016","tonnes","313900"
"Crops and livestock products","New Zealand","Production","Wine","2017","tonnes","285100"
"Crops and livestock products","New Zealand","Production","Wine","2018","tonnes","301700"
"Crops and livestock products","New Zealand","Production","Wine","2019","tonnes","297400"
"Crops and livestock products","North Macedonia","Production","Wine","2016","tonnes","78501"
"Crops and livestock products","North Macedonia","Production","Wine","2017","tonnes","36934"
"Crops and livestock products","North Macedonia","Production","Wine","2018","tonnes","102633"
"Crops and livestock products","North Macedonia","Production","Wine","2019","tonnes","90624"
"Crops and livestock products","Norway","Production","Wine","2016","tonnes",""
"Crops and livestock products","Norway","Production","Wine","2017","tonnes",""
"Crops and livestock products","Norway","Production","Wine","2018","tonnes",""
"Crops and livestock products","Panama","Production","Wine","2016","tonnes","101"
"Crops and livestock products","Panama","Production","Wine","2017","tonnes","120"
"Crops and livestock products","Panama","Production","Wine","2018","tonnes","83"
"Crops and livestock products","Panama","Production","Wine","2019","tonnes","95"
"Crops and livestock products","Paraguay","Production","Wine","2016","tonnes","1564"
"Crops and livestock products","Paraguay","Production","Wine","2017","tonnes","1625"
"Crops and livestock products","Paraguay","Production","Wine","2018","tonnes","1896"
"Crops and livestock products","Paraguay","Production","Wine","2019","tonnes","1831"
"Crops and livestock products","Peru","Production","Wine","2016","tonnes","75000"
"Crops and livestock products","Peru","Production","Wine","2017","tonnes","76500"
"Crops and livestock products","Peru","Production","Wine","2018","tonnes","82000"
"Crops and livestock products","Peru","Production","Wine","2019","tonnes","82000"
"Crops and livestock products","Portugal","Production","Wine","2016","tonnes","708562"
"Crops and livestock products","Portugal","Production","Wine","2017","tonnes","655759"
"Crops and livestock products","Portugal","Production","Wine","2018","tonnes","588372"
"Crops and livestock products","Portugal","Production","Wine","2019","tonnes","634885"
"Crops and livestock products","Republic of Moldova","Production","Wine","2016","tonnes","141460"
"Crops and livestock products","Republic of Moldova","Production","Wine","2017","tonnes","171430"
"Crops and livestock products","Republic of Moldova","Production","Wine","2018","tonnes","178490"
"Crops and livestock products","Republic of Moldova","Production","Wine","2019","tonnes","182700"
"Crops and livestock products","Romania","Production","Wine","2016","tonnes","330012"
"Crops and livestock products","Romania","Production","Wine","2017","tonnes","430504"
"Crops and livestock products","Romania","Production","Wine","2018","tonnes","125743"
"Crops and livestock products","Russian Federation","Production","Wine","2016","tonnes","516000"
"Crops and livestock products","Russian Federation","Production","Wine","2017","tonnes","448000"
"Crops and livestock products","Russian Federation","Production","Wine","2018","tonnes","428000"
"Crops and livestock products","Russian Federation","Production","Wine","2019","tonnes","460000"
"Crops and livestock products","Serbia","Production","Wine","2016","tonnes","24087"
"Crops and livestock products","Serbia","Production","Wine","2017","tonnes","36004"
"Crops and livestock products","Serbia","Production","Wine","2018","tonnes","34777"
"Crops and livestock products","Serbia","Production","Wine","2019","tonnes","30184"
"Crops and livestock products","Slovakia","Production","Wine","2016","tonnes","34296"
"Crops and livestock products","Slovakia","Production","Wine","2017","tonnes","31500"
"Crops and livestock products","Slovakia","Production","Wine","2018","tonnes","29900"
"Crops and livestock products","Slovenia","Production","Wine","2016","tonnes","27895"
"Crops and livestock products","Slovenia","Production","Wine","2017","tonnes","25738"
"Crops and livestock products","Slovenia","Production","Wine","2018","tonnes","18276"
"Crops and livestock products","South Africa","Production","Wine","2016","tonnes","1053100"
"Crops and livestock products","South Africa","Production","Wine","2017","tonnes","1082000"
"Crops and livestock products","South Africa","Production","Wine","2018","tonnes","950300"
"Crops and livestock products","South Africa","Production","Wine","2019","tonnes","973500"
"Crops and livestock products","Spain","Production","Wine","2016","tonnes","3930000"
"Crops and livestock products","Spain","Production","Wine","2017","tonnes","3250000"
"Crops and livestock products","Spain","Production","Wine","2018","tonnes","4440000"
"Crops and livestock products","Spain","Production","Wine","2019","tonnes","3370000"
"Crops and livestock products","Switzerland","Production","Wine","2016","tonnes","107674"
"Crops and livestock products","Switzerland","Production","Wine","2017","tonnes","79179"
"Crops and livestock products","Switzerland","Production","Wine","2018","tonnes","111153"
"Crops and livestock products","Switzerland","Production","Wine","2019","tonnes","97945"
"Crops and livestock products","Syrian Arab Republic","Production","Wine","2016","tonnes","52"
"Crops and livestock products","Syrian Arab Republic","Production","Wine","2017","tonnes","57"
"Crops and livestock products","Syrian Arab Republic","Production","Wine","2018","tonnes","49"
"Crops and livestock products","Syrian Arab Republic","Production","Wine","2019","tonnes","62"
"Crops and livestock products","Tajikistan","Production","Wine","2016","tonnes","198"
"Crops and livestock products","Tajikistan","Production","Wine","2017","tonnes","213"
"Crops and livestock products","Tajikistan","Production","Wine","2018","tonnes","224"
"Crops and livestock products","Tajikistan","Production","Wine","2019","tonnes","231"
"Crops and livestock products","Tunisia","Production","Wine","2016","tonnes","30500"
"Crops and livestock products","Tunisia","Production","Wine","2017","tonnes","30500"
"Crops and livestock products","Tunisia","Production","Wine","2018","tonnes","32000"
"Crops and livestock products","Tunisia","Production","Wine","2019","tonnes","37000"
"Crops and livestock products","Türkiye","Production","Wine","2016","tonnes","39402"
"Crops and livestock products","Türkiye","Production","Wine","2017","tonnes","24862"
"Crops and livestock products","Türkiye","Production","Wine","2018","tonnes","23619"
"Crops and livestock products","Türkiye","Production","Wine","2019","tonnes","24623"
"Crops and livestock products","Turkmenistan","Production","Wine","2016","tonnes","38248"
"Crops and livestock products","Turkmenistan","Production","Wine","2017","tonnes","38472"
"Crops and livestock products","Turkmenistan","Production","Wine","2018","tonnes","38748"
"Crops and livestock products","Turkmenistan","Production","Wine","2019","tonnes","40040"
"Crops and livestock products","Ukraine","Production","Wine","2016","tonnes","77250"
"Crops and livestock products","Ukraine","Production","Wine","2017","tonnes","79650"
"Crops and livestock products","Ukraine","Production","Wine","2018","tonnes","80630"
"Crops and livestock products","Ukraine","Production","Wine","2019","tonnes","80650"
"Crops and livestock products","United Kingdom of Great Britain and Northern Ireland","Production","Wine","2016","tonnes","466"
"Crops and livestock products","United Kingdom of Great Britain and Northern Ireland","Production","Wine","2017","tonnes","467"
"Crops and livestock products","United Kingdom of Great Britain and Northern Ireland","Production","Wine","2018","tonnes","469"
"Crops and livestock products","United Kingdom of Great Britain and Northern Ireland","Production","Wine","2019","tonnes","485"
"Crops and livestock products","United States of America","Production","Wine","2016","tonnes","2720879"
"Crops and livestock products","United States of America","Production","Wine","2017","tonnes","2170462"
"Crops and livestock products","United States of America","Production","Wine","2018","tonnes","2384006"
"Crops and livestock products","United States of America","Production","Wine","2019","tonnes","2583429"
"Crops and livestock products","Uruguay","Production","Wine","2016","tonnes","76255"
"Crops and livestock products","Uruguay","Production","Wine","2017","tonnes","67278"
"Crops and livestock products","Uruguay","Production","Wine","2018","tonnes","74500"
"Crops and livestock products","Uruguay","Production","Wine","2019","tonnes","60486"
"Crops and livestock products","Uzbekistan","Production","Wine","2016","tonnes","27180"
"Crops and livestock products","Uzbekistan","Production","Wine","2017","tonnes","25592"
"Crops and livestock products","Uzbekistan","Production","Wine","2018","tonnes","22887"
"Crops and livestock products","Uzbekistan","Production","Wine","2019","tonnes","21567"
"Crops and livestock products","Viet Nam","Production","Wine","2016","tonnes","7043"
"Crops and livestock products","Viet Nam","Production","Wine","2017","tonnes","7043"
"Crops and livestock products","Viet Nam","Production","Wine","2018","tonnes","14085"
"Crops and livestock products","Viet Nam","Production","Wine","2019","tonnes","14085"
"Crops and livestock products","Zimbabwe","Production","Wine","2016","tonnes","2089"
"Crops and livestock products","Zimbabwe","Production","Wine","2017","tonnes","2245"
"Crops and livestock products","Zimbabwe","Production","Wine","2018","tonnes","2004"
"Crops and livestock products","Zimbabwe","Production","Wine","2019","tonnes","1361"
